,Inv Item,Labels,Text
8442,ARC-269625,Misc,GHX INDUSTRIAL KIT STUD/NUT/GASKET SPIRAL WOUND 3 RF 600 CLASS 304 SS INNER/CS GUIDE RING 304 SS WINDING FLEXIBLE GRAPHITE FILLER
8443,ARC-195802,Misc,CATERPILLAR LUBRICANT CATERPILLAR 2S3230
8444,ARC-226762,Misc,NAMEPLATES INC NAMEPLATE ARCHROCK VESSEL REPAIR ARCHROCK REP08 NAMEPLATES INC HANOVESSELREP08
8446,ARC-178328,O-Ring,ARIEL CORP. O-RING 2.02 OD 7/32 CROSS SECTION VITON ARIEL CORP. A0025
8447,ARC-223356,O-Ring,IPD O-RING IPD 493023
8448,ARC-258337,O-Ring,WAUKESHA O-RING OIL FILTER WAUKESHA 304760
8450,ARC-192682,Misc,CATERPILLAR RING
8451,ARC-171798,Piston - Compressor - Ring ,AFTERMARKET RING PISTON 4 DIA TEFLON VC AFTERMARKET 405128
8452,ARC-201109,Misc,CATERPILLAR SCREW PLAIN FINISH ENGINE MODEL NO: G-342 CATERPILLAR 8H1460
8453,ARC-202224,Seal - Engine,CATERPILLAR SEAL CATERPILLAR 9Y1798
8454,ARC-249460,Misc,SQUARE D RELAY SOCKET 8 PIN SQUARE D M8501NR51
8456,ARC-243418,Switch Gauge,MURPHY SWITCHGAUGE PRESSURE 1/8 NPS BRASS CB PLTD STL CASE 0/150 PSI 0/1.03 MPA DIAPHRAGM 2 DIAL SILICONE FILL POLY LENS MNPT SINGLE CONTACT 3A @ 30VDC/4A @ 125VAC 2A @ 30VAC/DC  SPST N.O. C/W SCREW TERMINALS MURPHY 20P150
8458,ARC-187456,Seal - Engine,ARROW ENGINE SEAL
8460,ARC-180683,Misc,ARIEL CORP. BASE PLATE INLET SECTION ARIEL CORP. A5537
8462,ARC-189757,Belt,BANDO BELT V HEAVY DUTY 1 BAND 99 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD BANDO B96
8463,ARC-231420,Belt,GATES BELT V 1 BAND 57 LG 0.47 TOP WD GATES 9570
8464,ARC-232305,Misc,GEMINI BOLT FOR CONNECTING ROD GEMINI 100022
8465,ARC-215067,Misc,MURPHY BRACKET DIGITAL ELECTRONIC PRESSURE REGULATOR (D-EPR) G3304NA EICS MURPHY E2470413
8466,ARC-254879,Misc,WAUKESHA CLAMP WAUKESHA 153402A
8467,ARC-230546,Misc,NONE ELBOW PIPE 90 DEG LR 1-1/2 NPS BUTT WELD S80/XH ASME B16.9 STL ASME SA-234-WPB
8468,ARC-250230,Seal - Misc,SULLAIR SEAL 2-1/8 REBUILT
8469,ARC-247655,Fitting,PARKER HANNIFIN TUBE CONNECTOR ELBOW 3/8 COMP X 1/8 MNPT 316 SS PARKER HANNIFIN 62CBZSS
8470,ARC-247653,Fitting,PARKER HANNIFIN TUBE CONNECTOR STRAIGHT 3/8 COMP X 3/4 MNPT STL
8471,ARC-251231,Fitting,SWAGELOK TUBE CONNECTOR ELBOW 1/4 COMP X 1/8 MNPT STL ZINC PLTD SWAGELOK S40022
8472,ARC-251442,Fitting,SWAGELOK TUBE CONNECTOR STRAIGHT 1/4 COMP X 1/4 FNPT 316 SS SWAGELOK SS40074
8473,ARC-178507,Gasket - Compressor - Misc,ARIEL CORP. GASKET FOR OIL LUBRICATION PUMP R:W/2 ARIEL CORP. A0411
8474,ARC-195586,Gasket - Engine - Misc,CATERPILLAR GASKET 2.632 WD X 0.058 THK CATERPILLAR 2N3236
8475,ARC-200369,Gasket - Engine - Misc,CATERPILLAR GASKET PAPER 2-5/8 X 2-3/8 X 1/32 THK NON-ASBESTOS CATERPILLAR 7M6844
8476,ARC-173333,Gasket - Misc,COOPER-AJAX GASKET FLAT COOPER-AJAX A2781D
8477,ARC-211284,Gasket - Misc,ENDYN GASKET FLAT RECTANGULAR ENDYN K6769
8478,ARC-210543,Gasket - Misc,ENDYN GASKET WATER OUTLET ENDYN A2783A
8479,ARC-233604,Gasket - Misc,GEMINI GASKET COMPRESSOR VALVE GEMINI 4060426
8480,ARC-217394,Exhaust - Misc,WAUKESHA GASKET EXHAUST MANIFOLD WAUKESHA 153896C
8481,ARC-269267,Gasket - Misc,GHX INDUSTRIAL GASKET SPIRAL WOUND 2 NPS 600 CLASS FLEXIBLE GRAPHITE FILLER 304 SS INNER RING 304 SS WINDING
8482,ARC-269505,Gasket - Misc,GHX INDUSTRIAL GASKET SPIRAL WOUND 2 NPS 600 CLASS FLEXIBLE GRAPHITE FILLER 304 SS INNER RING 304 SS WINDING
8486,ARC-241619,Misc,MARSH INSTRUMENT GAUGE PRESSURE 63MM DIAL 0-100 PSI 1/4 MNPT CU ALLOY CONNECTION BOTTOM CONNECTION 304 SS CASE CU ALLOY WETTED LOCAL MOUNT GLYCERINE FILL POLYCARBONATE LENS BLACK ON WHITE DIAL BLACK POINTER FACE MARSH INSTRUMENT J7648P
8487,ARC-264849,Misc,WIKA GAUGE PRESSURE 2-1/2 DIAL 0-160 PSI 1/4 MNPT 316L SS CONNECTION BOTTOM CONNECTION 304 SS CASE 316 SS WETTED STEM MOUNT DRY FILL POLYCARBONATE LENS BLACK ON WHITE DIAL BLACK POINTER FACE WELDED CASE MODEL NO: 232.53 WIKA 9768696
8488,ARC-250704,Misc,VALVOLINE GREASE MULTI PURPOSE MULI-LITH #2 NLGI 2 0-275 DEG F VALVOLINE 609
8489,ARC-236457,Hose,HOSE OF S.TEXAS HOSE 3/4 DIA 200 PSI RED FOUR WIRE SPIRAL BRAIDED SPIRAL HOSE OF S.TEXAS AIR12200R
8490,ARC-254911,Misc,WAUKESHA INDICATOR RESTRICTION FOR ENGINE MODEL H24 WAUKESHA 153789
8491,ARC-240432,Misc,NONE KIT STUD/NUT/GASKET 3 RF 600 CLASS
8492,ARC-269058,Misc,NORRISEAL MOUNT SWIVEL NORRISEAL 1141381
8494,ARC-200388,Misc,CATERPILLAR NUT LOCK
8495,ARC-269688,O-Ring,CUMMINS O-RING CUMMINS 3007759
8496,ARC-199207,O-Ring,CATERPILLAR O-RING 6 ID SYNTHETIC RBR CATERPILLAR 6L7812
8497,ARC-201149,O-Ring,CATERPILLAR O-RING PTFE/VITON 75 DUROMETER CATERPILLAR 8L2786
8498,ARC-217182,O-Ring,IPD O-RING SEAL #324 SPARKPLUG IPD 6V3830
8499,ARC-245481,O-Ring,PARKER HANNIFIN O-RING #6 1/8 ID 1/4 OD 1/16 CROSS SECTION DIVIDER BLOCK AS 568A PARKER HANNIFIN 006
8500,ARC-180484,Compressor Valve - Parts,ARIEL CORP. PLATE VALVE 0.079 THK 42RX
8501,ARC-179882,Compressor Valve - Parts,ARIEL CORP. PLATE VALVE 0.118 THK PEEK 70RX
8503,ARC-270209,Misc,D&F BATTERY AND ELECTRIC INC PULLEY 1 GROOVE 7/8 BORE DIA D&F BATTERY AND ELECTRIC INC 241503
8504,ARC-178630,Misc,ARIEL CORP. SPRING VALVE COMPRESSION UNLOADER
8505,ARC-178829,Misc,ARIEL CORP. STUD THREADED 2.008 LG ARIEL CORP. A1043
8507,ARC-247671,Misc,PARKER HANNIFIN TUBE UNION STRAIGHT 3/8 COMP X 1/4 COMP STL PARKER HANNIFIN 64HBZS
8508,ARC-270455,Misc,NONE WASHER 5/8 OD BRASS 5/8 SIGHT GLASS GROMMET 3CE1819
8509,ARC-194481,Bearing - Engine - Misc,CATERPILLAR BEARING CATERPILLAR 1S7371
8510,ARC-199887,Bearing - Engine - Misc,CATERPILLAR BEARING CATERPILLAR 7C4998
8511,ARC-205700,Belt,DAYCO BELT V COGGED 1 BAND 70 LG 0.5 TOP WD 0.312 THK AX RBR POLYESTER CORD DAYCO AX68
8512,ARC-231586,Belt,GATES BELT V HEAVY DUTY 1 BAND 97 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD GATES B94
8513,ARC-200206,Misc,CATERPILLAR BOLT SEAL SEAL CATERPILLAR 7F8022
8514,ARC-215057,Misc,MURPHY BRACKET DIGITAL ELECTRONIC PRESSURE REGULATOR (D-EPR) G3306NA EICS MURPHY E2470411
8515,ARC-260583,Misc,WAUKESHA CAP WAUKESHA B4296A
8516,ARC-231156,Hose,GATES CLAMP HOSE SUPER SCREW 1-1/8 TO 3 DIA 1/2 WD #40 GATES 32040
8517,ARC-270233,Misc,CUMMINS CLIP OIL LINE CUMMINS 3026793
8518,ARC-225049,Misc,KENCO KIT REPAIR SIGHT WINDOW CONTAINS (1)SIGHT WINDOW (1)O-RING SEAL (4)MOUNTING SCREWS KENCO GLK512
8519,ARC-189330,Filter - Misc,BALDWIN FILTER ELEMENT BYPASS 22.2MM ID 195.3MM OD 254MM LG BALDWIN C704L
8520,ARC-261942,Filter - Fuel,WESTERN FILTER FILTER ELEMENT FIBERGLASS FIBERGLASS FUEL WESTERN FILTER WFG12
8521,ARC-245495,Hose,PARKER HANNIFIN FITTING HOSE CRIMP 1-1/4 CRIMP 1-1/4 NPT SS
8522,ARC-221477,Fitting,DK-LOK USA TUBE CONNECTOR ELBOW 1/4 COMP X 1/8 MNPT SS DK-LOK USA DLMZ-4-2N-S
8523,ARC-247657,Fitting,PARKER HANNIFIN TUBE CONNECTOR STRAIGHT 3/8 COMP X 1/8 MNPT 316 SS PARKER HANNIFIN 62FBZSS
8524,ARC-251416,Fitting,SWAGELOK TUBE CONNECTOR STRAIGHT 1/4 COMP X 1/2 MNPT 316 SS SWAGELOK SS-400-1-8
8525,ARC-224137,Exhaust - Misc,CUMMINS GASKET MANIFOLD INTAKE
8527,ARC-250346,Misc,NONE GLASS SIGHT 1/2 ID PLASTIC
8529,ARC-194341,Seal - Misc,CATERPILLAR SEAL CATERPILLAR 1N8324
8530,ARC-270791,Misc,GHX INDUSTRIAL KIT STUD/NUT/GASKET SPIRAL WOUND 2 RF 600 CLASS 304 SS INNER/CS GUIDE RING 304 SS WINDING FLEXIBLE GRAPHITE FILLER 5/8 DIA X 4-1/2 LG (8) STUD (8) NUT GHX INDUSTRIAL KITSNG22600RF
8531,ARC-173759,Misc,COOPER-AJAX ROD END BEARING BALL LEFT HAND COOPER-AJAX BM10879A
8533,ARC-178331,O-Ring,ARIEL CORP. O-RING 5.645 OD 7/32 CROSS SECTION VITON ARIEL CORP. A0028
8534,ARC-195579,Seal - Misc,CATERPILLAR SEAL CATERPILLAR 2N2560
8535,ARC-167498,Misc,ARIEL CORP. PIN INDICATOR 5000 PSI ARIEL CORP. A9969
8536,ARC-236259,Misc,HOFFMAN PLATE PANEL ALUM FOR JUNCTION BOX HOFFMAN A12P10AL
8537,ARC-247797,Misc,PARKER HANNIFIN REDUCER PIPE THREADED 316 SS BY FNPT NPS 3/8 MNPT NPS 1/2 PARKER HANNIFIN 86RBSS
8538,ARC-207869,Misc,DRESSER RING SEAL 2 STYLE 65 DRESSER 30650007001
8539,ARC-211253,Misc,ENDYN SCREW ADJUSTING GOVERNOR ENDYN K6378
8540,ARC-197443,Seal - Engine,CATERPILLAR SEAL CATERPILLAR 4N7526
8541,ARC-228308,Misc,FISHER SPRING GREEN 15# 40# 627 FISHER 10B3077X012
8542,ARC-247726,SS Tubing,PARKER HANNIFIN TUBING NUT 3/8 TUBE 316 SS PARKER HANNIFIN 6BZSS
8543,ARC-245548,SS Tubing,PARKER HANNIFIN TUBING PLUG 3/4 TUBE PARKER HANNIFIN 12FNZ
8544,ARC-239528,Valve - Ball,KF VALVE BALL FLOATING 3/4 FNPT FULL PORT TWO-PIECE THREADED BODY AISI C12L14 BODY AISI C12L14 (NI PLATED) STEM CHROME PLATED BALL RPTFE SEAL RPTFE SEAT LEVER OPERATED CWP= 2000 PSI SERIES HC-740/HXC-740ZN PLATED BODY KF 05003P11
8545,ARC-241984,Valve - Relief,MERCER VALVE VALVE RELIEF CONVENTIONAL SPRING DESIGN 1100 PSI SET 1/2 ORIFICE 1 MNPT X 1 FNPT SS BODY 15% GLASS FILLED TEFLON SEAT SS DISC SS NOZZLE VITON/BUNA-N SEAL -20 TO 400 DEG F CLOSED CAP ASME SECTION VIII - DIV 1 REBUILT MERCER VALVE 8117151T
8546,ARC-201885,Misc,CATERPILLAR WASHER 2MM THK HARDENED STL
8548,ARC-198237,Misc,CATERPILLAR BAND CATERPILLAR 5L7875
8549,ARC-226767,Bearing - Cooler - Misc,DODGE BUSHING SHAFT QD 1-7/16 BORE DIA DI 3/8 X 3/16 SK
8550,ARC-266820,Belt,NONE BELT V COGGED 1 BAND 37.5 LG 0.53 TOP WD SYNTHETIC RBR POLYESTER CORD
8551,ARC-231550,Belt,GATES BELT V HEAVY DUTY 1 BAND 53 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD GATES B50
8552,ARC-191147,Misc,NONE BOLT U 1 3/8 THD DIA DOUBLE NUT CLEAR ZINC PLTD CS BLUB0100X0037SCE
8553,ARC-200477,Misc,CATERPILLAR BRACE G3306 CATERPILLAR 7N3395
8554,ARC-199300,Misc,CATERPILLAR BRACKET CATERPILLAR 6N2283
8555,ARC-193853,Misc,CATERPILLAR CAP PROBE SET TO SAMPLE FLUID CATERPILLAR 1779343
8556,ARC-221527,Misc,DONALDSON CLAMP MUFFLER FOR 3 PIPE DONALDSON P206407
8558,ARC-250591,Misc,NONE CLEANER HAND 14 OZ TUBE
8559,ARC-198593,Seal - Misc,CATERPILLAR SEAL CATERPILLAR 5P5598
8560,ARC-204994,Misc,COOPER CROUSE HINDS COVER CONDUIT BODY FERALOY IRON ALLOY
8561,ARC-178704,Misc,ARIEL CORP. ELBOW PIPE 90 DEG ASME B16.11MNPTNPS 1/4CLASS 3000 ARIEL CORP. A0800
8563,ARC-201005,Misc,CATERPILLAR END CATERPILLAR 8B3768
8564,ARC-247854,Fitting,PARKER HANNIFIN TUBE CONNECTOR STRAIGHT 1/2 COMP X 1/4 MNPT 316 SS PARKER HANNIFIN 8MSC4N316
8565,ARC-249488,Fitting,SSP TUBE CONNECTOR ELBOW 1/4 COMP X 1/8 FNPT 316 SS DUOLOK SSP D4FE2
8566,ARC-249531,Fitting,SSP TUBE CONNECTOR STRAIGHT 3/8 COMP X 3/8 MNPT 316 SS DUOLOK SSP D6MC6
8567,ARC-251298,Fitting,SWAGELOK TUBE CONNECTOR ELBOW 1/2 COMP X 3/8 MNPT STL ZINC PLTD SWAGELOK S81026
8568,ARC-178942,Gasket - Compressor - Misc,ARIEL CORP. GASKET WIRE RND ARIEL CORP. A1118
8569,ARC-193307,Exhaust - Misc,CATERPILLAR GASKET MANIFOLD  EXHAUST RND CATERPILLAR 1367730
8570,ARC-238234,Gasket - Misc,IPD GASKET EXHAUST METAL PAPER LAYER IPD 5L3773
8571,ARC-258395,Gasket - Engine - Misc,WAUKESHA GASKET FOR BUTTERFLY VALVE WAUKESHA 305088D
8572,ARC-260636,Gasket - Engine - Misc,WAUKESHA GASKET WAUKESHA B7009
8573,ARC-173630,Gasket - Flange,COOPER-AJAX GASKET FLANGE 10 DIA 150 CLASS FOR EXHAUST LINE COOPER-AJAX A4514
8574,ARC-235042,Gasket - Misc,NONE GASKET SPIRAL WOUND 1-1/2 NPS 300-400-600 CLASS 1/8 THK CHLOROCARB FILLER 316L SS WINDING CS GUIDE RING
8575,ARC-244632,Misc,NORGREN KIT REPAIR
8576,ARC-223453,Misc,WAUKESHA KIT O-RING SPARKPLUG TOOL 5 PIECE REPAIR WAUKESHA 475041
8577,ARC-169556,Misc,GHX INDUSTRIAL KIT STUD/NUT/GASKET SPIRAL WOUND FLEXIBLE GRAPHITE FILLER 3/4 X 3-3/4 LG (8) STUD (16) NUT
8582,ARC-233813,Misc,GEMINI NUT ACORN STL GEMINI 4066015
8583,ARC-185675,Misc,ARIEL CORP. NUT LOCK SELF-LOCKING 3/8-24 THD DIA
8584,ARC-197147,Misc,CATERPILLAR NUT LOCK
8585,ARC-197013,O-Ring,CATERPILLAR O-RING SYNTHETIC RBR CATERPILLAR 4F7390
8586,ARC-210915,O-Ring,ENDYN O-RING VITON ENDYN BM16243272
8587,ARC-215084,O-Ring,MURPHY O-RING SEAL MIXER OUTLET EICS MURPHY E2181111
8588,ARC-227357,O-Ring,TRUE ROCK O-RING SEAL TRUE ROCK 4062265
8589,ARC-257910,O-Ring,WAUKESHA O-RING CRANK CASE WAUKESHA 294931
8591,ARC-198121,Plug,CATERPILLAR PLUG
8592,ARC-201339,Piston - Engine - Ring,CATERPILLAR RING PISTON ENGINE CATERPILLAR 8N0452
8595,ARC-193767,Seal - Engine,CATERPILLAR SEAL CATERPILLAR 1691750
8596,ARC-201259,Seal - Engine,CATERPILLAR SEAL ORING ORING SHAFT G379/G398/G399 CATERPILLAR 8M1051
8597,ARC-203060,Sparkplug,CHAMPION SPARK PLUG SPARKPLUG 871 CHAMPION SPARK PLUG RJ8C
8598,ARC-243924,Switch - Misc,MURPHY SWITCH TATTLETALE MURPHY 25700416
8599,ARC-221433,SS Tubing,DK-LOK USA TUBING FERRULE 1/4 SFCT PLAIN FINISH SS DK-LOK USA DFZ-4-S
8600,ARC-247765,SS Tubing,PARKER HANNIFIN TUBING NUT 3/8 TUBE 316 SS
8601,ARC-215496,Misc,CATERPILLAR DISC ABRASIVE GRINDING CATERPILLAR 4C8638
8602,ARC-231356,Belt,GATES BELT V 1 BAND 46.58 LG 0.41 TOP WD GATES 7460
8603,ARC-226904,Belt,GATES BELT V EXTRA HEAVY DUTY 1 BAND 45 LG 0.5 TOP WD 0.312 THK A RBR POLYESTER CORD GATES A43
8604,ARC-258488,Block,WAUKESHA BLOCK 305367 WAUKESHA 305367
8605,ARC-261879,Misc,WESCO CONDUIT BODY LR 1/2 FNPT THD METAL WESCO LR17
8606,ARC-192298,Misc,CATERPILLAR BOLT HEX 3/8-16 UNC THD DIA 3 LG CATERPILLAR 0S1619
8607,ARC-206500,Misc,DIXON CLAMP WORM GEAR 4-1/8 TO 7 SS DIXON HSS104
8610,ARC-247582,Fitting,PARKER HANNIFIN TUBE CONNECTOR STRAIGHT 1/4 COMP X 1/2 MNPT 316 SS PARKER HANNIFIN 48FBZSS
8611,ARC-174050,Gasket - Misc,COOPER-AJAX GASKET FLAT FOR COMPRESSOR VALVE COOPER-AJAX BM15777L5
8612,ARC-173522,Gasket - Engine - Head,COOPER-AJAX GASKET HEAD CU COOPER-AJAX A3834G
8613,ARC-238394,Gasket - Misc,IPD GASKET EXHAUST TURBOCHARGER METAL PAPER LAYER G342/G379/G398/G399 IPD 7M7273
8615,ARC-241618,Misc,MARSH INSTRUMENT GAUGE PRESSURE 63MM DIAL 0-60 PSI 1/4 MNPT CU ALLOY CONNECTION BOTTOM CONNECTION 304 SS CASE CU ALLOY WETTED LOCAL MOUNT GLYCERINE FILL POLYCARBONATE LENS BLACK ON WHITE DIAL BLACK POINTER FACE MARSH INSTRUMENT J7646P
8616,ARC-271106,Misc,SK PROFESSIONAL HAND TOOL BALL HEX 3/8 DRIVE 4MM STL 1 PIECE SK PROFESSIONAL 45964
8618,ARC-249676,Misc,NONE BAR FLAT 1/8 X 2 STL ASME SA-36 ASTM A6
8619,ARC-195065,O-Ring,CATERPILLAR O-RING CATERPILLAR 2353546
8620,ARC-198810,O-Ring,CATERPILLAR O-RING SEAL CYLINDER HEAD G342 CATERPILLAR 6B7021
8621,ARC-233073,O-Ring,GEMINI O-RING COVER GEMINI 260PS2987
8622,ARC-246424,Plug,PLUGS PLUG TUBING SIZE: 3/4 IN FOR COOLER TUBE PLUGS 34CP
8623,ARC-258865,Misc,WAUKESHA RETAINER RING WAUKESHA 44999C
8624,ARC-256429,Misc,WAUKESHA ROD END BEARING RIGHT HAND
8625,ARC-227176,Misc,HEXARMOR GLOVES CUT RESIST/IMPACT XL GREY/BLACK ELASTIC WRIST CUT LEVEL 4
8626,ARC-194211,Misc,CATERPILLAR SCREW PLAIN FINISH CATERPILLAR 1F7603
8627,ARC-191856,Seal - Engine,CATERPILLAR SEAL 3516 CATERPILLAR 336031
8628,ARC-222942,Misc,MILL-ROSE SEALANT PIPE THREAD PTFE BLUE BLUE MONSTER 1/2 WD X 1429 ROLL
8629,ARC-200680,Misc,CATERPILLAR SPRING VALVE
8630,ARC-200030,Misc,CATERPILLAR STOP THROTTLE CATERPILLAR 7E1565
8631,ARC-260233,Valve - Misc,WAUKESHA VALVE CYL HEAD JET/PISTON ASSEMBLY WAUKESHA A305376E
8632,ARC-185745,Misc,ARIEL CORP. WASHER SEALING STAT-O-SEAL 3/4 ID
8633,ARC-204482,Wire - Misc,CHICAGO PNEUMATIC WIRE LOCK CHICAGO PNEUMATIC 1PS1257
8634,ARC-205477,Adapter - Misc,DAYCO ADAPTER STRAIGHT FITTING 3/4 MJIC X 1 MNPT DAYCO 24041216
8636,ARC-241218,MRO,LOCTITE ADHESIVE HIGH TEMP RTV SILICONE ULTRA BLACK 3.35 OZ TUBE LOCTITE 82180
8637,ARC-231692,Belt,GATES BELT SYNCHRONOUS NOTCHED 72.125 LG GATES XL7715
8638,ARC-189736,Belt,BANDO BELT V HEAVY DUTY 1 BAND 47 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD BANDO B44
8639,ARC-205770,Belt,DAYCO BELT V HEAVY DUTY 1 BAND 86 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD DAYCO B83
8640,ARC-231402,Belt,GATES BELT V 1 BAND 36.38 LG 0.47 TOP WD GATES 9360
8641,ARC-231477,Belt,GATES BELT V HEAVY DUTY 1 BAND 74 LG 0.5 TOP WD 0.312 THK A RBR POLYESTER CORD GATES A72
8642,ARC-231351,Belt,GATES BELT V NOTCHED 1 BAND 44.08 LG 0.41 TOP WD GATES 7435
8643,ARC-252071,Belt,T.B. WOODS BELT V EXTRA HEAVY DUTY 1 BAND 115 LG 0.656 TOP WD 0.406 THK BP POLYCHLOROPRENE ARAMID CORD T.B. WOODS BP112
8644,ARC-177221,Misc,ANTHES CAP RAIN 2-1/4 TO 2-7/16 5 ANTHES 11006
8645,ARC-173676,Misc,COOPER-AJAX CONNECTOR TERMINAL
8646,ARC-223859,Misc,STEEL CONNECTOR CORD GRIP STL
8647,ARC-247786,Fitting,PARKER HANNIFIN TUBE CONNECTOR STRAIGHT 3/8 COMP X 1/2 MNPT STL
8648,ARC-234729,Misc,GOULD FUSE 30 AMP 600 V GOULD ATDR30
8649,ARC-217671,Misc,MURPHY FUSE 30A ATC MURPHY E2468582
8650,ARC-170940,Gasket - Misc,AEROQUIP GASKET PIPE 1-1/4 RND BUNA-N AEROQUIP NK1000063C125
8651,ARC-179443,Gasket - Compressor - Misc,ARIEL CORP. GASKET CS ARIEL CORP. A1558
8652,ARC-197240,Gasket - Engine - Misc,CATERPILLAR GASKET BREATHER 7.38 OD X 0.031 THK CIRCULAR NON-ASBESTOS CATERPILLAR 4L8176
8653,ARC-193753,Gasket - Engine - Misc,CATERPILLAR GASKET ENGINE CATERPILLAR 1669145
8654,ARC-199077,Gasket - Engine - Valve Cover,CATERPILLAR GASKET FOR VALVE COVER CATERPILLAR 6L3352
8655,ARC-193106,Gasket - Engine - Misc,CATERPILLAR GASKET OIL PAN G3306 CATERPILLAR 1290357
8656,ARC-173311,Gasket - Misc,COOPER-AJAX GASKET FLAT RND COOPER-AJAX A2588A
8657,ARC-235047,Gasket - Misc,NONE GASKET SPIRAL WOUND 2 NPS 300-400-600 CLASS 1/8 THK CHLOROCARB FILLER 316L SS WINDING CS GUIDE RING
8658,ARC-251023,Controller - Liquid Level,UNITED BRASS GAUGECOCK BALL CHECK SHUT-OFF 5/8 FNPT GA CONN 1/2 MNPT UNION VESSEL CONN 250 PSI BRZ BODY LOWER FIXTURE PRESSURE RATING: UNITED BRASS 946AS
8659,ARC-264836,Misc,WIKA GAUGE PRESSURE 2-1/2 DIAL 0-5000 PSI 1/4 MNPT CU ALLOY CONNECTION BOTTOM CONNECTION 304 SS CASE CU ALLOY WETTED STEM MOUNT GLYCERINE FILL POLYCARBONATE LENS BLACK ON WHITE DIAL BLACK POINTER FACE WIKA 9767169
8660,ARC-214013,Misc,ARIEL CORP. TOOL GAUGE THREAD ARIEL CORP. A15236
8661,ARC-237625,Misc,INGERSOLL RAND KIT TUNE UP RELAY VALVE
8662,ARC-226123,Misc,LOCTITE LUBRICANT 8 OZ BRUSH TOP CAN GENERAL PURPOSE ALUMINUM GRAPHITE NICKEL PETROLEUM DISTILLATES SODIUM PETROLEUM SULFONATES LOCTITE 77124
8663,ARC-199209,Seal - Misc,CATERPILLAR SEAL CATERPILLAR 6L7814
8664,ARC-171604,O-Ring,AFTERMARKET O-RING GASKET 1/4 CROSS SECTION SILICONE
8665,ARC-178323,O-Ring,ARIEL CORP. O-RING 5.387 OD 9/64 CROSS SECTION VITON ARIEL CORP. A0019
8666,ARC-202152,Seal - Misc,CATERPILLAR SEAL CATERPILLAR 9X7378
8667,ARC-210990,O-Ring,ENDYN O-RING
8668,ARC-203217,Seal - Misc,CHICAGO RAWHIDE SEAL CRWA1 NITRILE CHICAGO RAWHIDE 5062
8669,ARC-255449,O-Ring,WAUKESHA O-RING OIL FILTER VHP-16 WAUKESHA 168922P
8671,ARC-202117,Misc,CATERPILLAR PIN CONNECTOR
8672,ARC-202006,Plug,CATERPILLAR PLUG STRAIGHT THREADED
8673,ARC-203169,Plug,CHERNE INDUSTRIES PLUG PIPE STL MECHANICAL NPS 2 GALVANIZED GRAINGER # 1VNG5 CHERNE INDUSTRIES 271527
8674,ARC-206494,Plug,DIXON PLUG DUST ALUM
8676,ARC-201843,Piston - Engine - Ring,CATERPILLAR RING PISTON WEAR BAND G342 CATERPILLAR 9J0110
8677,ARC-217905,Misc,CATERPILLAR SCREW ADJUSTING STL
8678,ARC-195080,Seal - Engine,CATERPILLAR SEAL CATERPILLAR 2395572
8680,ARC-228274,Misc,FISHER SPRING 630 REGULATOR OLIVE DRAB 8-20# LOW SIDE 46-95# HIGH SIDE FISHER 0W019127022
8681,ARC-244932,Misc,NORRISEAL SPRING BALANCING BALANCING LLC HEAVY DUTY SST YELLOW STRIPE 100017 P/N NORRISEAL 415874
8682,ARC-244894,Misc,NORRISEAL SPRING SILVER
8683,ARC-267641,Misc,ARIEL CORP. SPRING VALVE LENTOID 37R1 ARIEL CORP. A1665
8684,ARC-178834,Misc,ARIEL CORP. STUD THREADED 24 UNF 1.77 LG ARIEL CORP. A1046
8686,ARC-196974,Misc,CATERPILLAR WASHER CATERPILLAR 4D3088
8687,ARC-198631,Seal - Misc,CATERPILLAR SEAL DISTORTER DISTORTER CATERPILLAR 5P7312
8688,ARC-173790,Bearing - Misc,COOPER-AJAX BEARING BALL FOR HUB COOPER-AJAX BM11126
8691,ARC-189722,Belt,BANDO BELT V HEAVY DUTY 1 BAND 119 LG 0.656 TOP WD 0.406 THK B RBR POLYESTER CORD BANDO B116
8692,ARC-205682,Belt,DAYCO BELT V HEAVY DUTY 1 BAND 90 LG 0.5 TOP WD 0.312 THK A RBR POLYESTER CORD DAYCO A88
8693,ARC-260329,Belt,WAUKESHA BELT V 1 BAND WAUKESHA A810496
8695,ARC-196978,Misc,CATERPILLAR BOLT U CS CATERPILLAR 4D6404
8696,ARC-249628,Misc,STANT CAP RADIATOR
8697,ARC-201524,Misc,CATERPILLAR CLAMP
8698,ARC-193001,Misc,CATERPILLAR CLAMP AFTERCOOLER CATERPILLAR 1246333
8699,ARC-212962,Misc,GOJO INDUSTRIES CLEANER HAND CANISTER SCRUBBING WIPES PREMOISTENED
8700,ARC-249547,Misc,SSP TUBING UNION TEE 3/8 IN TUBE X 3/8 IN TUBE X 3/8 IN TUBE DOUBLE FERRULE COMPRESSION MATL= TYPE 316 STAINLESS STEEL DUOLOK SSP D6UT
8701,ARC-220272,Misc,DONALDSON REDUCER EXHAUST PIPE 4 X 3 PIPE ALUM STL PLAIN X PLAIN 16 GAUGE DONALDSON J009648
